,0
reference_gs_duration_s,1264.2637623762375
detected_gs_duration_s,1695.2175247524754
gs_duration_error_s,430.9537623762375
gs_relative_duration_error,
gs_absolute_duration_error_s,560.2339603960395
gs_absolute_relative_duration_error,
gs_absolute_relative_duration_error_log,
detected_num_gs,66.67326732673267
reference_num_gs,50.20792079207921
num_gs_error,16.465346534653467
num_gs_relative_error,
num_gs_absolute_error,21.316831683168317
num_gs_absolute_relative_error,
num_gs_absolute_relative_error_log,
tp_samples,114329.099009901
fp_samples,55265.41584158416
fn_samples,12119.316831683169
precision,0.672795527360147
recall,0.9294106477564981
f1_score,0.7426265264206653
tn_samples,728686.0693069306
specificity,0.9355769553177031
accuracy,0.9283121968705248
npv,0.9818773052569463
combined__reference_gs_duration_s,127690.64
combined__detected_gs_duration_s,171216.97
combined__gs_duration_error_s,43526.33
combined__gs_relative_duration_error,0.3408733012850433
combined__gs_absolute_duration_error_s,43526.33
combined__gs_absolute_relative_duration_error,0.3408733012850433
combined__gs_absolute_relative_duration_error_log,0.29332111906417246
combined__detected_num_gs,6734.0
combined__reference_num_gs,5071.0
combined__num_gs_error,1663.0
combined__num_gs_relative_error,0.3279432064681522
combined__num_gs_absolute_error,1663.0
combined__num_gs_absolute_relative_error,0.3279432064681522
combined__num_gs_absolute_relative_error_log,0.28363128392600073
combined__tp_samples,11547239.0
combined__fp_samples,5581807.0
combined__fn_samples,1224051.0
combined__precision,0.6741320561577101
combined__recall,0.9041560406192327
combined__f1_score,0.772381888952686
combined__tn_samples,73597293.0
combined__specificity,0.9295040357872216
combined__accuracy,0.9259833699454674
combined__npv,0.9836403500049398
