,0
reference_gs_duration_s,1264.2637623762375
detected_gs_duration_s,1245.8051485148515
gs_duration_error_s,-18.458613861386123
gs_relative_duration_error,
gs_absolute_duration_error_s,139.65881188118811
gs_absolute_relative_duration_error,
gs_absolute_relative_duration_error_log,
detected_num_gs,63.277227722772274
reference_num_gs,50.20792079207921
num_gs_error,13.069306930693068
num_gs_relative_error,
num_gs_absolute_error,15.722772277227723
num_gs_absolute_relative_error,
num_gs_absolute_relative_error_log,
tp_samples,105300.74257425743
fp_samples,19340.574257425742
fn_samples,21173.287128712873
precision,0.810160443882717
recall,0.7984480300891952
f1_score,0.7955410192986871
tn_samples,764550.3762376237
specificity,0.9747160984513966
accuracy,0.9567540211091704
npv,0.9731718446160704
runtime_s,0.1374751115444188
combined__reference_gs_duration_s,127690.64
combined__detected_gs_duration_s,125826.32
combined__gs_duration_error_s,-1864.3199999999924
combined__gs_relative_duration_error,-0.01460028706880937
combined__gs_absolute_duration_error_s,1864.3199999999924
combined__gs_absolute_relative_duration_error,0.01460028706880937
combined__gs_absolute_relative_duration_error_log,0.014494729088328303
combined__detected_num_gs,6391.0
combined__reference_num_gs,5071.0
combined__num_gs_error,1320.0
combined__num_gs_relative_error,0.2603036876355748
combined__num_gs_absolute_error,1320.0
combined__num_gs_absolute_relative_error,0.2603036876355748
combined__num_gs_absolute_relative_error_log,0.23135271385526274
combined__tp_samples,10635375.0
combined__fp_samples,1953398.0
combined__fn_samples,2138502.0
combined__precision,0.8448301514373164
combined__recall,0.8325878666281192
combined__f1_score,0.8386643351542524
combined__tn_samples,77219588.0
combined__specificity,0.9753274683867551
combined__accuracy,0.9554971222889899
combined__npv,0.9730525016416096
