,0
reference_gs_duration_s,1264.2637623762375
detected_gs_duration_s,1262.3674257425741
gs_duration_error_s,-1.8963366336633576
gs_relative_duration_error,
gs_absolute_duration_error_s,168.6575247524752
gs_absolute_relative_duration_error,
gs_absolute_relative_duration_error_log,
detected_num_gs,76.04950495049505
reference_num_gs,50.20792079207921
num_gs_error,25.84158415841584
num_gs_relative_error,
num_gs_absolute_error,28.89108910891089
num_gs_absolute_relative_error,
num_gs_absolute_relative_error_log,
tp_samples,107843.86138613861
fp_samples,18453.148514851484
fn_samples,18637.118811881188
precision,0.8190601566341992
recall,0.8202004000322848
f1_score,0.8068540864021774
tn_samples,765523.9405940594
specificity,0.9760581180282975
accuracy,0.9601635821526666
npv,0.9764086186054767
runtime_s,
combined__reference_gs_duration_s,127690.64
combined__detected_gs_duration_s,127499.11
combined__gs_duration_error_s,-191.52999999999884
combined__gs_relative_duration_error,-0.001499953324691605
combined__gs_absolute_duration_error_s,191.52999999999884
combined__gs_absolute_relative_duration_error,0.001499953324691605
combined__gs_absolute_relative_duration_error_log,0.001498829518334456
combined__detected_num_gs,7681.0
combined__reference_num_gs,5071.0
combined__num_gs_error,2610.0
combined__num_gs_relative_error,0.5146913823703412
combined__num_gs_absolute_error,2610.0
combined__num_gs_absolute_relative_error,0.5146913823703412
combined__num_gs_absolute_relative_error_log,0.4152117102036629
combined__tp_samples,10892230.0
combined__fp_samples,1863768.0
combined__fn_samples,1882349.0
combined__precision,0.8538908519741066
combined__recall,0.8526488426741891
combined__f1_score,0.8532693953607081
combined__tn_samples,77317918.0
combined__specificity,0.9764621329230095
combined__accuracy,0.9592619708945334
combined__npv,0.9762330472951563
