,0
reference_gs_duration_s,1264.2637623762375
detected_gs_duration_s,1059.5844554455448
gs_duration_error_s,-204.67930693069303
gs_relative_duration_error,
gs_absolute_duration_error_s,226.93198019801977
gs_absolute_relative_duration_error,
gs_absolute_relative_duration_error_log,
detected_num_gs,59.73267326732673
reference_num_gs,50.20792079207921
num_gs_error,9.524752475247524
num_gs_relative_error,
num_gs_absolute_error,14.811881188118813
num_gs_absolute_relative_error,
num_gs_absolute_relative_error_log,
tp_samples,97687.88118811882
fp_samples,8309.455445544554
fn_samples,28803.544554455446
precision,0.8754862965176714
recall,0.724373563973517
f1_score,0.7786418546248138
tn_samples,775623.6138613861
specificity,0.989251737242547
accuracy,0.9600589916701119
npv,0.9642294033789103
combined__reference_gs_duration_s,127690.64
combined__detected_gs_duration_s,107018.03
combined__gs_duration_error_s,-20672.61
combined__gs_relative_duration_error,-0.1618960481363395
combined__gs_absolute_duration_error_s,20672.61
combined__gs_absolute_relative_duration_error,0.1618960481363395
combined__gs_absolute_relative_duration_error_log,0.15005319499282152
combined__detected_num_gs,6033.0
combined__reference_num_gs,5071.0
combined__num_gs_error,962.0
combined__num_gs_relative_error,0.18970617235259318
combined__num_gs_absolute_error,962.0
combined__num_gs_absolute_relative_error,0.18970617235259318
combined__num_gs_absolute_relative_error_log,0.17370636264574274
combined__tp_samples,9866476.0
combined__fp_samples,839255.0
combined__fn_samples,2909158.0
combined__precision,0.9216069411794486
combined__recall,0.7722885611782554
combined__f1_score,0.8403664778431748
combined__tn_samples,78337985.0
combined__specificity,0.9894002998841587
combined__accuracy,0.9592354992623722
combined__npv,0.9641937194025395
