,0
reference_gs_duration_s,1264.2637623762375
detected_gs_duration_s,1315.857524752475
gs_duration_error_s,51.59376237623764
gs_relative_duration_error,
gs_absolute_duration_error_s,185.98267326732673
gs_absolute_relative_duration_error,
gs_absolute_relative_duration_error_log,
detected_num_gs,58.02970297029703
reference_num_gs,50.20792079207921
num_gs_error,7.821782178217822
num_gs_relative_error,
num_gs_absolute_error,12.257425742574258
num_gs_absolute_relative_error,
num_gs_absolute_relative_error_log,
tp_samples,108744.12871287129
fp_samples,22898.970297029704
fn_samples,17722.138613861385
precision,0.7813016162179527
recall,0.8159129499815843
f1_score,0.7854202250662494
tn_samples,761018.3267326732
specificity,0.9695773262580165
accuracy,0.9562470380944247
npv,0.9777245460164733
runtime_s,
combined__reference_gs_duration_s,127690.64
combined__detected_gs_duration_s,132901.61
combined__gs_duration_error_s,5210.969999999987
combined__gs_relative_duration_error,0.0408093341845572
combined__gs_absolute_duration_error_s,5210.969999999987
combined__gs_absolute_relative_duration_error,0.0408093341845572
combined__gs_absolute_relative_duration_error_log,0.039998616454726584
combined__detected_num_gs,5861.0
combined__reference_num_gs,5071.0
combined__num_gs_error,790.0
combined__num_gs_relative_error,0.15578781305462433
combined__num_gs_absolute_error,790.0
combined__num_gs_absolute_relative_error,0.15578781305462433
combined__num_gs_absolute_relative_error_log,0.14478220068141023
combined__tp_samples,10983157.0
combined__fp_samples,2312796.0
combined__fn_samples,1789936.0
combined__precision,0.8260526342113274
combined__recall,0.8598666744225537
combined__f1_score,0.8426205546608803
combined__tn_samples,76862851.0
combined__specificity,0.970789048304209
combined__accuracy,0.9553802259824332
combined__npv,0.9772425610296556
