,0
reference_gs_duration_s,12.190265410958904
detected_gs_duration_s,19.28125
gs_duration_error_s,7.0909845890410965
gs_relative_duration_error,
gs_absolute_duration_error_s,7.378313356164383
gs_absolute_relative_duration_error,
gs_absolute_relative_duration_error_log,
detected_num_gs,1.456335616438356
reference_num_gs,1.211472602739726
num_gs_error,0.24486301369863014
num_gs_relative_error,
num_gs_absolute_error,0.2636986301369863
num_gs_absolute_relative_error,
num_gs_absolute_relative_error_log,
tp_samples,1186.6181506849316
fp_samples,743.8535958904109
fn_samples,32.511986301369866
precision,0.5692244273413274
recall,0.8924214459360023
f1_score,0.6831653086507199
tn_samples,1683.3287671232877
specificity,0.5392956638601953
accuracy,0.7295369253217251
npv,0.9903858808634721
combined__reference_gs_duration_s,14238.23
combined__detected_gs_duration_s,22520.5
combined__gs_duration_error_s,8282.27
combined__gs_relative_duration_error,0.5816923873262337
combined__gs_absolute_duration_error_s,8282.27
combined__gs_absolute_relative_duration_error,0.5816923873262337
combined__gs_absolute_relative_duration_error_log,0.4584954050062817
combined__detected_num_gs,1701.0
combined__reference_num_gs,1415.0
combined__num_gs_error,286.0
combined__num_gs_relative_error,0.2021201413427562
combined__num_gs_absolute_error,286.0
combined__num_gs_absolute_relative_error,0.2021201413427562
combined__num_gs_absolute_relative_error_log,0.18408678231852382
combined__tp_samples,1385970.0
combined__fp_samples,868821.0
combined__fn_samples,37974.0
combined__precision,0.6146778127108011
combined__recall,0.9733318164197469
combined__f1_score,0.7535035820737291
combined__tn_samples,1966128.0
combined__specificity,0.6935320529575665
combined__accuracy,0.7870819952508785
combined__npv,0.9810518626297464
