,0
reference_gs_duration_s,12.190265410958904
detected_gs_duration_s,18.71835616438356
gs_duration_error_s,6.5280907534246575
gs_relative_duration_error,
gs_absolute_duration_error_s,6.939546232876712
gs_absolute_relative_duration_error,
gs_absolute_relative_duration_error_log,
detected_num_gs,1.4366438356164384
reference_num_gs,1.211472602739726
num_gs_error,0.22517123287671234
num_gs_relative_error,
num_gs_absolute_error,0.2457191780821918
num_gs_absolute_relative_error,
num_gs_absolute_relative_error_log,
tp_samples,1176.4837328767123
fp_samples,697.6720890410959
fn_samples,42.657534246575345
precision,0.5742673498751759
recall,0.8898165573292472
f1_score,0.686419687593127
tn_samples,1729.4674657534247
specificity,0.5553295796802359
accuracy,0.7385070097887451
npv,0.9894303749125414
combined__reference_gs_duration_s,14238.23
combined__detected_gs_duration_s,21863.04
combined__gs_duration_error_s,7624.810000000001
combined__gs_relative_duration_error,0.5355167039723338
combined__gs_absolute_duration_error_s,7624.810000000001
combined__gs_absolute_relative_duration_error,0.5355167039723338
combined__gs_absolute_relative_duration_error_log,0.4288669393627433
combined__detected_num_gs,1678.0
combined__reference_num_gs,1415.0
combined__num_gs_error,263.0
combined__num_gs_relative_error,0.18586572438162544
combined__num_gs_absolute_error,263.0
combined__num_gs_absolute_relative_error,0.18586572438162544
combined__num_gs_absolute_relative_error_log,0.17047307694981356
combined__tp_samples,1374133.0
combined__fp_samples,814881.0
combined__fn_samples,49824.0
combined__precision,0.6277406174652149
combined__recall,0.9650101793804167
combined__f1_score,0.7606664985686296
combined__tn_samples,2020018.0
combined__specificity,0.7125537805756043
combined__accuracy,0.7969630811654586
combined__npv,0.9759285974485009
