,0
reference_gs_duration_s,12.199982891360136
detected_gs_duration_s,10.995816937553464
gs_duration_error_s,-1.204165953806673
gs_relative_duration_error,
gs_absolute_duration_error_s,5.027450812660394
gs_absolute_relative_duration_error,
gs_absolute_relative_duration_error_log,
detected_num_gs,0.9888793840889649
reference_num_gs,1.2112917023096663
num_gs_error,-0.22241231822070145
num_gs_relative_error,
num_gs_absolute_error,0.3473053892215569
num_gs_absolute_relative_error,
num_gs_absolute_relative_error_log,
tp_samples,861.9443969204448
fp_samples,239.16937553464498
fn_samples,358.38922155688624
precision,0.6001021788382496
recall,0.7286483851111512
f1_score,0.6388302720282096
tn_samples,2185.290846877673
specificity,0.776790152947161
accuracy,0.8074057613920856
npv,0.9209451557000443
combined__reference_gs_duration_s,14261.78
combined__detected_gs_duration_s,12854.11
combined__gs_duration_error_s,-1407.67
combined__gs_relative_duration_error,-0.09870226577608125
combined__gs_absolute_duration_error_s,1407.67
combined__gs_absolute_relative_duration_error,0.09870226577608125
combined__gs_absolute_relative_duration_error_log,0.09412972495619447
combined__detected_num_gs,1156.0
combined__reference_num_gs,1416.0
combined__num_gs_error,-260.0
combined__num_gs_relative_error,-0.18361581920903955
combined__num_gs_absolute_error,260.0
combined__num_gs_absolute_relative_error,0.18361581920903955
combined__num_gs_absolute_relative_error_log,0.16857400678836332
combined__tp_samples,1007613.0
combined__fp_samples,279589.0
combined__fn_samples,418957.0
combined__precision,0.7827932212659707
combined__recall,0.7063186524320573
combined__f1_score,0.7425922295609211
combined__tn_samples,2554605.0
combined__specificity,0.9013514953457668
combined__accuracy,0.8360514687037348
combined__npv,0.8591060149410035
