,0
reference_gs_duration_s,12.199982891360136
detected_gs_duration_s,14.67982891360137
gs_duration_error_s,2.4798460222412317
gs_relative_duration_error,
gs_absolute_duration_error_s,3.714952951240376
gs_absolute_relative_duration_error,
gs_absolute_relative_duration_error_log,
detected_num_gs,1.3259195893926432
reference_num_gs,1.2112917023096663
num_gs_error,0.1146278870829769
num_gs_relative_error,
num_gs_absolute_error,0.1864841745081266
num_gs_absolute_relative_error,
num_gs_absolute_relative_error_log,
tp_samples,1095.6680923866552
fp_samples,374.34987168520104
fn_samples,124.62104362703165
precision,0.6766021867775441
recall,0.8639636168307003
f1_score,0.7493772444595749
tn_samples,2050.8443113772455
specificity,0.7489552475774136
accuracy,0.8363610618327635
npv,0.9749794685247359
runtime_s,0.007597807720261896
combined__reference_gs_duration_s,14261.78
combined__detected_gs_duration_s,17160.72
combined__gs_duration_error_s,2898.9400000000005
combined__gs_relative_duration_error,0.20326635244688954
combined__gs_absolute_duration_error_s,2898.9400000000005
combined__gs_absolute_relative_duration_error,0.20326635244688954
combined__gs_absolute_relative_duration_error_log,0.18503981934093114
combined__detected_num_gs,1550.0
combined__reference_num_gs,1416.0
combined__num_gs_error,134.0
combined__num_gs_relative_error,0.09463276836158192
combined__num_gs_absolute_error,134.0
combined__num_gs_absolute_relative_error,0.09463276836158192
combined__num_gs_absolute_relative_error_log,0.09041893565962728
combined__tp_samples,1280836.0
combined__fp_samples,437615.0
combined__fn_samples,145682.0
combined__precision,0.7453433353642321
combined__recall,0.8978758066845284
combined__f1_score,0.8145301273239896
combined__tn_samples,2397437.0
combined__specificity,0.8456412792428498
combined__accuracy,0.8631262656720411
combined__npv,0.9427152248872349
