,0
reference_gs_duration_s,12.199982891360136
detected_gs_duration_s,11.861240376390077
gs_duration_error_s,-0.3387425149700601
gs_relative_duration_error,
gs_absolute_duration_error_s,3.954071856287425
gs_absolute_relative_duration_error,
gs_absolute_relative_duration_error_log,
detected_num_gs,1.34901625320787
reference_num_gs,1.2112917023096663
num_gs_error,0.1377245508982036
num_gs_relative_error,
num_gs_absolute_error,0.32591958939264326
num_gs_absolute_relative_error,
num_gs_absolute_relative_error_log,
tp_samples,941.5380667236955
fp_samples,246.24550898203591
fn_samples,279.14114627887085
precision,0.6851381365743585
recall,0.7907518602789955
f1_score,0.7189487492516279
tn_samples,2178.594525235244
specificity,0.8155847354211608
accuracy,0.8361163830328833
npv,0.929536974805678
runtime_s,
combined__reference_gs_duration_s,14261.78
combined__detected_gs_duration_s,13865.79
combined__gs_duration_error_s,-395.9899999999998
combined__gs_relative_duration_error,-0.027765818852906143
combined__gs_absolute_duration_error_s,395.9899999999998
combined__gs_absolute_relative_duration_error,0.027765818852906143
combined__gs_absolute_relative_duration_error_log,0.027387338409733165
combined__detected_num_gs,1577.0
combined__reference_num_gs,1416.0
combined__num_gs_error,161.0
combined__num_gs_relative_error,0.1137005649717514
combined__num_gs_absolute_error,161.0
combined__num_gs_absolute_relative_error,0.1137005649717514
combined__num_gs_absolute_relative_error_log,0.10768831270937321
combined__tp_samples,1100658.0
combined__fp_samples,287861.0
combined__fn_samples,326316.0
combined__precision,0.7926848678340016
combined__recall,0.7713230934831329
combined__f1_score,0.781858097320789
combined__tn_samples,2546777.0
combined__specificity,0.8984487613585932
combined__accuracy,0.8558815302753982
combined__npv,0.8864234467871385
