,0
reference_gs_duration_s,12.190265410958904
detected_gs_duration_s,12.917140410958906
gs_duration_error_s,0.7268750000000002
gs_relative_duration_error,
gs_absolute_duration_error_s,3.9562243150684933
gs_absolute_relative_duration_error,
gs_absolute_relative_duration_error_log,
detected_num_gs,1.1130136986301369
reference_num_gs,1.211472602739726
num_gs_error,-0.09845890410958905
num_gs_relative_error,
num_gs_absolute_error,0.23544520547945205
num_gs_absolute_relative_error,
num_gs_absolute_relative_error_log,
tp_samples,963.8784246575342
fp_samples,329.3946917808219
fn_samples,255.638698630137
precision,0.5863579041546588
recall,0.7369458121195291
f1_score,0.6422473366855846
tn_samples,2096.7311643835615
specificity,0.7770128398933358
accuracy,0.8224809785043479
npv,0.9266057973413387
combined__reference_gs_duration_s,14238.23
combined__detected_gs_duration_s,15087.22
combined__gs_duration_error_s,848.9899999999998
combined__gs_relative_duration_error,0.05962749583340063
combined__gs_absolute_duration_error_s,848.9899999999998
combined__gs_absolute_relative_duration_error,0.05962749583340063
combined__gs_absolute_relative_duration_error_log,0.05791742733674644
combined__detected_num_gs,1300.0
combined__reference_num_gs,1415.0
combined__num_gs_error,-115.0
combined__num_gs_relative_error,-0.0812720848056537
combined__num_gs_absolute_error,115.0
combined__num_gs_absolute_relative_error,0.0812720848056537
combined__num_gs_absolute_relative_error_log,0.07813820430914306
combined__tp_samples,1125810.0
combined__fp_samples,384733.0
combined__fn_samples,298586.0
combined__precision,0.7453015240214943
combined__recall,0.7903771142294699
combined__f1_score,0.7671777846149443
combined__tn_samples,2448982.0
combined__specificity,0.8642301713475067
combined__accuracy,0.8395253200304078
combined__npv,0.8913271664249984
