,0
reference_gs_duration_s,1264.2637623762378
detected_gs_duration_s,378.2975247524753
gs_duration_error_s,-885.9662376237624
gs_relative_duration_error,
gs_absolute_duration_error_s,1018.530420792079
gs_absolute_relative_duration_error,
gs_absolute_relative_duration_error_log,
detected_num_gs,17.753712871287128
reference_num_gs,50.20792079207921
num_gs_error,-32.45420792079208
num_gs_relative_error,
num_gs_absolute_error,42.82549504950495
num_gs_absolute_relative_error,
num_gs_absolute_relative_error_log,
tp_samples,29178.64108910891
fp_samples,8670.551980198019
fn_samples,97254.69430693069
precision,0.18594495689990292
recall,0.2249573131850992
f1_score,0.2015738460098789
tn_samples,775170.6534653465
specificity,0.9886153054397226
accuracy,0.8818758486872017
npv,0.8906426113307176
combined__reference_gs_duration_s,1021525.12
combined__detected_gs_duration_s,305664.4
combined__gs_duration_error_s,-715860.72
combined__gs_relative_duration_error,-0.7007764233932886
combined__gs_absolute_duration_error_s,715860.72
combined__gs_absolute_relative_duration_error,0.7007764233932886
combined__gs_absolute_relative_duration_error_log,0.5310848664406105
combined__detected_num_gs,14345.0
combined__reference_num_gs,40568.0
combined__num_gs_error,-26223.0
combined__num_gs_relative_error,-0.6463961743245908
combined__num_gs_absolute_error,26223.0
combined__num_gs_absolute_relative_error,0.6463961743245908
combined__num_gs_absolute_relative_error_log,0.49858876243398564
combined__tp_samples,23576342.0
combined__fp_samples,7005806.0
combined__fn_samples,78581793.0
combined__precision,0.770918445623898
combined__recall,0.23078281528925718
combined__f1_score,0.35522512785361465
combined__tn_samples,626337888.0
combined__specificity,0.9889383820090581
combined__accuracy,0.8836337373676334
combined__npv,0.8885237636030764
