,0
reference_gs_duration_s,1264.2637623762378
detected_gs_duration_s,265.2377722772277
gs_duration_error_s,-999.0259900990098
gs_relative_duration_error,
gs_absolute_duration_error_s,1004.475099009901
gs_absolute_relative_duration_error,
gs_absolute_relative_duration_error_log,
detected_num_gs,11.207920792079207
reference_num_gs,50.20792079207921
num_gs_error,-39.0
num_gs_relative_error,
num_gs_absolute_error,39.992574257425744
num_gs_absolute_relative_error,
num_gs_absolute_relative_error_log,
tp_samples,24536.289603960395
fp_samples,1998.2388613861385
fn_samples,101900.83787128713
precision,0.21731695553412428
recall,0.17907733278034985
f1_score,0.1932538369003699
tn_samples,781816.353960396
specificity,0.9973678482140828
accuracy,0.884029627750066
npv,0.8850416986635122
combined__reference_gs_duration_s,1021525.12
combined__detected_gs_duration_s,214312.12
combined__gs_duration_error_s,-807213.0
combined__gs_relative_duration_error,-0.790203769046815
combined__gs_absolute_duration_error_s,807213.0
combined__gs_absolute_relative_duration_error,0.790203769046815
combined__gs_absolute_relative_duration_error_log,0.5823294508299934
combined__detected_num_gs,9056.0
combined__reference_num_gs,40568.0
combined__num_gs_error,-31512.0
combined__num_gs_relative_error,-0.7767698678761585
combined__num_gs_absolute_error,31512.0
combined__num_gs_absolute_relative_error,0.7767698678761585
combined__num_gs_absolute_relative_error_log,0.5747970348073645
combined__tp_samples,19825322.0
combined__fp_samples,1614577.0
combined__fn_samples,82335877.0
combined__precision,0.9246928821819543
combined__recall,0.19405921420323188
combined__f1_score,0.32079524083192207
combined__tn_samples,631707614.0
combined__specificity,0.9974506230431455
combined__accuracy,0.8858567642159805
combined__npv,0.88469066935308
