,0
tp_samples,17.241438356164384
fp_samples,1.2234589041095891
fn_samples,1.8184931506849316
precision,0.875086085738307
recall,0.8020037978580925
f1_score,0.8335026185135002
tp_absolute_timing_error_s,0.11798829560832787
tp_relative_timing_error,0.18246900294217816
combined__tp_samples,20138.0
combined__fp_samples,1429.0
combined__fn_samples,2124.0
combined__precision,0.933741364121111
combined__recall,0.9045907824993262
combined__f1_score,0.918934951744279
combined__tp_absolute_timing_error_s,0.13680256231999208
combined__tp_relative_timing_error,113.93127814965165
