,0
tp_samples,17.038494439692045
fp_samples,1.0342172797262617
fn_samples,2.058169375534645
precision,0.8783633805021638
recall,0.7865482941830008
f1_score,0.8263876775371245
tp_absolute_error_s,0.05374183641254963
tp_relative_error,0.08042717777145621
combined__tp_samples,19918.0
combined__fp_samples,1209.0
combined__fn_samples,2406.0
combined__precision,0.9427746485539831
combined__recall,0.8922236158394553
combined__f1_score,0.9168028353777818
combined__tp_absolute_error_s,0.060877096093985346
combined__tp_relative_error,45.65081417385311
